"kommunenummer","KomNavn","km2_2000","km2_2001","km2_2002","km2_2003","km2_2004","km2_2005","km2_2006","km2_2007","km2_2008","km2_2009","km2_2010","km2_2011","km2_2012","km2_2013","km2_2014","km2_2015","km2_2016","km2_2017","km2_2018","km2_2019","km2_2020","km2_2021","km2_2022","km2_2023","km2_2024","km2_2025","km2_2026","km2_2027","km2_2028","km2_2029","km2_2030","km2_2031","km2_2032","km2_2033","km2_2034","km2_2035","km2_2036","km2_2037","km2_2038","km2_2039","km2_2040","km2_2041","km2_2042","km2_2043","km2_2044","km2_2045","km2_2046","km2_2047","km2_2048","km2_2049","km2_2050"
5514,"Ibestad",0.2916,0.3042,0.3069,0.3006,0.2979,0.2808,0.288,0.2871,0.2979,0.3051,0.2934,0.3087,0.306,0.315,0.2997,0.315,0.3222,0.3033,0.3447,0.3456,0.3456,0.3204,0.3141,0.330965217391305,0.33284347826087,0.334721739130435,0.3366,0.338478260869565,0.34035652173913,0.342234782608696,0.344113043478261,0.345991304347826,0.347869565217391,0.349747826086957,0.351626086956522,0.353504347826087,0.355382608695652,0.357260869565218,0.359139130434783,0.361017391304348,0.362895652173913,0.364773913043478,0.366652173913043,0.368530434782609,0.370408695652174,0.37228695652174,0.374165217391305,0.37604347826087,0.377921739130435,0.3798,0.381678260869565
3424,"Rendalen",1.1421,1.2204,1.1187,1.1592,0.9387,1.0233,1.1178,1.089,1.1673,1.0899,0.9162,0.8865,0.9441,1.0431,0.9504,1.1529,1.2384,1.1727,1.1691,1.2555,1.3851,1.2546,1.2213,1.19888181818182,1.20583102766799,1.21278023715415,1.21972944664032,1.22667865612648,1.23362786561265,1.24057707509881,1.24752628458498,1.25447549407115,1.26142470355731,1.26837391304348,1.27532312252965,1.28227233201581,1.28922154150198,1.29617075098814,1.30311996047431,1.31006916996047,1.31701837944664,1.32396758893281,1.33091679841897,1.33786600790514,1.3448152173913,1.35176442687747,1.35871363636364,1.3656628458498,1.37261205533597,1.37956126482213,1.3865104743083
3120,"Rakkestad",3.9897,4.104,4.1688,4.365,4.4127,4.4406,4.4721,4.221,4.4874,4.7025,4.8699,4.8987,5.1111,5.3613,5.4252,5.4468,5.4513,6.0129,6.0282,5.7618,5.6169,5.355,5.2704,5.9717881422925,6.05649041501979,6.14119268774704,6.22589496047432,6.31059723320161,6.39529950592886,6.48000177865615,6.56470405138343,6.64940632411068,6.73410859683797,6.81881086956522,6.9035131422925,6.98821541501979,7.07291768774704,7.15761996047432,7.24232223320161,7.32702450592886,7.41172677865615,7.49642905138343,7.58113132411068,7.66583359683797,7.75053586956522,7.8352381422925,7.91994041501979,8.00464268774704,8.08934496047432,8.17404723320161,8.25874950592886
3207,"Nordre Follo",11.2374,11.1357,11.3238,11.4777,11.808,12.0744,12.0663,11.781,11.6901,12.2454,12.0249,12.4218,12.3966,12.6819,12.8889,13.5918,13.761,14.3505,14.3901,14.2191,14.7735,15.0552,14.4972,14.9161126482213,15.0942948616601,15.2724770750988,15.4506592885375,15.6288415019762,15.807023715415,15.9852059288537,16.1633881422925,16.3415703557312,16.5197525691699,16.6979347826087,16.8761169960474,17.0542992094861,17.2324814229249,17.4106636363636,17.5888458498023,17.7670280632411,17.9452102766798,18.1233924901186,18.3015747035573,18.479756916996,18.6579391304348,18.8361213438735,19.0143035573122,19.1924857707509,19.3706679841897,19.5488501976285,19.7270324110672
5047,"Overhalla",0.7002,0.6867,0.747,0.7164,0.7308,0.6903,0.675,0.6876,0.693,0.7002,0.7011,0.6966,0.6948,0.6948,0.7434,0.7452,0.756,0.6885,0.6777,0.7209,0.7524,0.7461,0.7272,0.727979051383399,0.729325494071146,0.730671936758893,0.73201837944664,0.733364822134387,0.734711264822134,0.736057707509881,0.737404150197629,0.738750592885376,0.740097035573123,0.74144347826087,0.742789920948617,0.744136363636364,0.745482806324111,0.746829249011858,0.748175691699605,0.749522134387352,0.750868577075099,0.752215019762846,0.753561462450593,0.75490790513834,0.756254347826087,0.757600790513834,0.758947233201581,0.760293675889328,0.761640118577075,0.762986561264822,0.764333003952569
3438,"Sør-Fron",0.837,0.7938,0.7875,0.8838,0.8685,0.8622,0.8361,0.9423,0.8028,0.7704,0.7128,0.7506,0.7092,0.9342,1.0764,1.1799,1.1007,1.0422,0.9936,1.0017,1.0701,1.0296,0.9693,1.06135612648221,1.07387964426878,1.08640316205534,1.0989266798419,1.11145019762846,1.12397371541502,1.13649723320158,1.14902075098814,1.1615442687747,1.17406778656127,1.18659130434783,1.19911482213439,1.21163833992095,1.22416185770751,1.23668537549407,1.24920889328063,1.26173241106719,1.27425592885375,1.28677944664032,1.29930296442688,1.31182648221344,1.32435,1.33687351778656,1.34939703557312,1.36192055335969,1.37444407114625,1.38696758893281,1.39949110671937
3420,"Elverum",5.2101,5.1885,5.2443,4.5684,4.9203,5.5584,5.535,5.3109,5.3388,5.6844,5.7186,5.7483,5.8221,5.9913,6.3153,5.8968,6.1344,6.3351,6.084,6.9066,6.8778,6.7689,6.5538,6.83078656126484,6.91555464426879,7.00032272727274,7.0850908102767,7.16985889328065,7.2546269762846,7.33939505928855,7.4241631422925,7.50893122529646,7.59369930830041,7.67846739130436,7.76323547430831,7.84800355731226,7.93277164031622,8.01753972332017,8.10230780632412,8.18707588932807,8.27184397233203,8.35661205533598,8.44138013833993,8.52614822134388,8.61091630434783,8.69568438735178,8.78045247035574,8.86522055335969,8.94998863636364,9.03475671936759,9.11952480237155
1560,"Tingvoll",0.6273,0.6399,0.6768,0.7209,0.7317,0.6867,0.6651,0.6741,0.675,0.6732,0.6939,0.6912,0.6885,0.7281,0.7083,0.6696,0.6732,0.7092,0.7254,0.729,0.711,0.7101,0.7335,0.723479051383399,0.72600918972332,0.728539328063241,0.731069466403162,0.733599604743083,0.736129743083004,0.738659881422925,0.741190019762846,0.743720158102766,0.746250296442688,0.748780434782609,0.75131057312253,0.753840711462451,0.756370849802371,0.758900988142293,0.761431126482213,0.763961264822135,0.766491403162055,0.769021541501976,0.771551679841897,0.774081818181818,0.776611956521739,0.77914209486166,0.781672233201581,0.784202371541502,0.786732509881423,0.789262648221344,0.791792786561265
3103,"Moss",15.1767,15.003,15.2523,15.7536,16.2396,16.1379,17.19,17.2908,17.5806,17.6769,17.6049,17.3664,17.7948,18.1287,18.171,18.3681,18.3771,19.6893,19.6308,19.2303,19.5462,19.9062,19.9179,20.3745628458498,20.5976854743083,20.8208081027668,21.0439307312253,21.2670533596838,21.4901759881423,21.7132986166008,21.9364212450593,22.1595438735178,22.3826665019763,22.6057891304348,22.8289117588933,23.0520343873518,23.2751570158102,23.4982796442687,23.7214022727273,23.9445249011858,24.1676475296443,24.3907701581028,24.6138927865612,24.8370154150197,25.0601380434782,25.2832606719368,25.5063833003953,25.7295059288537,25.9526285573122,26.1757511857707,26.3988738142292
4651,"Stryn",3.8547,3.9402,4.0644,4.3461,4.3605,4.4685,4.428,4.4757,4.0284,4.1958,4.4667,4.716,3.9267,3.9411,3.8421,3.843,3.6387,3.6108,3.7116,3.9159,3.933,3.9528,3.9024,3.81008418972332,3.78859446640316,3.767104743083,3.74561501976284,3.72412529644268,3.70263557312253,3.68114584980237,3.65965612648221,3.63816640316205,3.61667667984189,3.59518695652174,3.57369723320158,3.55220750988142,3.53071778656126,3.5092280632411,3.48773833992095,3.46624861660079,3.44475889328063,3.42326916996047,3.40177944664031,3.38028972332016,3.3588,3.33731027667984,3.31582055335968,3.29433083003952,3.27284110671937,3.25135138339921,3.22986166007905
